관리번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"118881974","(뷰티 유튜버, 메이크업 아티스트 및 청소년을 위한) 베이직 메이크업 ","글: 이영호","신아출판사","2019","9791156056508","","0","","593.245","1","0","2019-10-08",
"118881973","커피 얼룩의 비밀:흐르고, 터지고, 휘몰아치는 음료 속 유체역학의 신비","송현수","Mid(엠아이디)","2019","9791187601913","","","","422","1","1","2019-10-08",
"118881972","나는 농담으로 과학을 말한다:지식을 향유하는 놀라운 방법","오후 지음","Whale books(웨일북)","2019","9791188248926","","","","400","1","2","2019-10-08",
"118881971","숲을 듣다。 :숲연구가 황호림의 세 번째 숲 이야기 ","황호림 지음","책나무 출판사","2019","9788963396224","","0","","472.52642","1","2","2019-10-08",
"118881970","(모르면 불편한) 돈의 교양 :국민소득 3만 달러 시대를 살기 위한 리스타트 이코노믹스 ","경제브리핑 불편한 진실 지음","청림출판","2019","9788935212873","","0","","320.04","1","4","2019-10-08",
"118881969","콘텐츠, 플랫폼(platform)을 만나다! ","지음: 김세을","콘텐츠경영학회","2019","9791196762407","","0","","331.5412","1","1","2019-10-08",
"118881968","네이비씰 승리의 기술 ","지은이: 조코 윌링크;레이프 바빈;최규민 옮김","메이븐","2019","9791196509460","","0","","331.17","1","3","2019-10-08",
"118881967","2만원의 철학","정영재 지음","중앙일보플러스","2019","9788927810353","","0","","325.1","1","0","2019-10-08",
"118881966","초보 창업 컨설팅북 :전문 창업코디네이터가 알려주는 실패하지 않는 창업비법 ","정효평;최용규 지음","북아지트","2019","9791187310273","","0","","325.21","1","1","2019-10-08",
"118881965","캡틴 클래스 :세계에서 가장 위대한 팀을 만든 리더의 7가지 숨은 힘 ","샘 워커 지음 ;배현 옮김","더봄","2019","9791188522576","","0","","692.068","1","4","2019-10-08",
"118881964","디즈니 웨이 :전 세계를 사로잡은 콘텐츠 기업의 모든 것 ","빌 캐포더글리;린 잭슨 지음 ;서미석 옮김","현대지성","2019","9791187142942","","0","","325.1","1","3","2019-10-08",
"118881963","백만장자 메신저 :당신의 경험이 돈이 되는 순간이 온다 ","브렌든 버처드 지음 ;위선주 옮김","웅진씽크빅","2019","9788901222660","","0","","325.211","1","3","2019-10-08",
"118881962","부의 비밀병기, if :당신을 부자로 만들어줄 20가지 질문 ","지은이: 조원경","김영사","2019","9788934997870","","0","","327.04","1","4","2019-10-08",
"118881961","2020 부의 지각변동 :미래가 보내온 7개의 시그널! 무너질 것인가, 기회를 만들 것인가 ","박종훈 지음","21세기북스","2019","9788950981983","","0","","321.97","1","1","2019-10-08",
"118881960","하마터면 돈 모르고 어른 될 뻔했다! :부모와 아이의 운명을 바꿀 돈공부 ","하수정 지음","어바웃어북","2019","9791187150589","","0","","327.07","1","3","2019-10-08",
"118881959","주목하지 않을 권리 :당신의 관심을 은근슬쩍 사고파는 광고 산업에 대항할 유일한 방법 ","팀 우 지음 ;안진환 옮김","시공사","2019","9788952737144","","0","","325.712","1","2","2019-10-08",
"118881958","빅데이터 소사이어티 ","마르크 뒤갱;크리스토프 라베 지음 ;김성희 옮김","부키","2019","9788960517288","","0","","331.5412","1","1","2019-10-08",
"118881957","반일 종족주의 :대한민국 위기의 근원 ","이영훈 지음","미래사","2019","9788970873268","","0","","340.911","1","2","2019-10-08",
"118881956","책임에 대하여 :현대 일본의 본성을 묻는 20년의 대화 ","서경식;다카하시 데쓰야 지음 ;한승동 옮김","돌베개","2019","9788971999714","","0","","340.913","1","1","2019-10-08",
"118881955","미래 공부 :전례 없고, 불확실하며, 원치 않던 변화에 대응하는 방법 ","박성원 지음","글항아리","2019","9788967356514","","0","","331.544","1","3","2019-10-08",
"118881954","세상을 읽는 통찰의 순간들 :비즈니스와 인생의 본질을 통찰하라 ","김경준 지음","원앤원북스","2019","9791189344979","","","","325.04","1","3","2019-10-08",
"118881953","일단, 오늘 1시간만 공부해봅시다 :다시 시작하는 나를 위한 1일 공부 실천법 ","양승진 지음","메멘토","2019","9788998614669","","0","","325.211","1","3","2019-10-08",
"118881952","1분 안에 말하라 :적게 말해도 인정받는 대화법 ","사이토 다카시 지음 ;장은정 옮김","라이스메이커","2019","9791185392813","","0","","802.56","1","1","2019-10-08",
"118881951","자기혁명 독서법 :뭐라도 해야 했던 사람에서 뭐든 하는 사람으로 ","이재범 지음","프레너미","2019","9791187383475","","0","","029.4","1","3","2019-10-08",
"118881950","(생각의 짐을 버리고 업무와 일상은 단순하게 정리하는) 내 머릿속 청소법 ","김경록 지음","책들의정원","2019","9791164160174","","0","","325.26","1","3","2019-10-08",
"118881949","어떻게 살아야 할지 막막한 너에게 ","우쥔 지음 ;이지수 옮김","오월구일","2019","9791196756901","","0","","199.1","1","3","2019-10-08",
"118881948","(지금 나에게 필요한) 긍정 심리학 =Positive psychology ","류쉬안 지음 ;마르코 천 그림 ;임보미 옮김","다연","2019","9791187962724","","0","","189","1","1","2019-10-08",
"118881947","돈을 끌어당기는 생각 습관 :돈·시간·운이 극적으로 바뀌는 44가지 생각의 기술 ","카사이 히로요;기타바타 야스요시 지음 ;정문주 옮김","길벗","2019","9791160508543","","0","","325.2113","1","2","2019-10-08",
"118881946","나는 하버드에서 인생을 배웠다:흔들림 없이 나답게 살아가는 법 11가지","무천강 지음;하정희 옮김","리드리드출판","2019","9788972778370","","0","","325.211","1","2","2019-10-08",
"118881945","야무지고 사치스럽게 살면 된다 :청춘 리셋 컨설팅 ","고코로야 진노스케 지음 ;왕언경 옮김","알투스","2019","9791186116319","","0","","199.1","1","2","2019-10-08",
"118881944","다시 버리기로 마음먹었다 :끊고 버리고 벗어나는 정리 생활 ","야마시타 히데코 지음 ;박선영 옮김","망고나무","2019","9791188279548","","1","","595.4","1","2","2019-10-08",
"118881943","수영장의 바닥 ","앤디 앤드루스 지음 ;김은경 옮김","홍익출판사","2019","9788970657301","","0","","199.1","1","2","2019-10-08",
"118881942","진심은 감추고 본심은 읽어라 :백 마디 말보다 강력한 신체언어의 기술 ","카시아 베조스키;패트릭 베조스키 지음 ;이경남 옮김","RHK(알에이치코리아)","2019","9788925566986","","0","","302.222","1","2","2019-10-08",
"118881941","독서에 미친 사람들 :현장 경험을 바탕으로 한 독서모임 운영 노하우와 실천 가이드 ","김의섭 지음","바이북스","2019","9791158771126","","0","","029.83","1","2","2019-10-08",
"118881940","문화어 수업 :다음 세대를 위한 요즘 북한 말, 북한 삶 안내서 ","한성우·설송아 지음","어크로스","2019","9791190030144","","","","802","1","2","2019-10-08",
"118881939","바람 쐬고 오면 괜찮아질 거야 :그동안 말하지 못했던 우울, 불안, 공황 이야기 ","제시카 버크하트 외 지음 ;임소연 옮김","길벗","2019","9791160508628","","0","","513.8504","1","1","2019-10-08",
"118881938","오늘처럼 내가 싫었던 날은 없다","글배우 지음","21세기북스","2019","9788950978983","","0","","818","1","4","2019-10-08",
"118881937","다크호스 :성공의 표준 공식을 깨는 비범한 승자들의 원칙 ","토드 로즈;오기 오가스 지음 ;정미나 옮김","21세기북스","2019","9788950982256","","0","","189.1","1","2","2019-10-08",
"118881936","멈추지 못하는 사람들 :무엇이 당신을 끊임없이 확인하고 검색하게 만드는가 ","애덤 알터 지음 ;홍지수 옮김","부키","2019","9788960517295","","0","","331.65","1","2","2019-10-08",
"118881935","음식의 말 :모든 주방에는 이야기가 있다 ","레네 레제피;크리스 잉 외 지음 ;박여진 옮김","윌북","2019","9791155812280","","0","","594.04","1","3","2019-10-08",
"118881934","수치심 권하는 사회 :내가 부족하다는 생각은 어디에서 오는가 ","브레네 브라운 지음 ;서현정 옮김","가나문화콘텐츠","2019","9788957360002","","0","","181.71","1","1","2019-10-08",
"118881933","나의 영국 인문 기행 ","서경식 지음 ;최재혁 옮김","반비","2019","9791189198893","","0","","600.924","1","3","2019-10-08",
"118881932","세븐파워교육","최하진 지음","나무&가지","2019","9791196075569","","0","","598.1","1","0","2019-10-08",
"118881931","(설민석의) 삼국지:누구나 쉽게 시작하고 모두가 빠져드는 이야기 ","지은이: 설민석","세계사","2019","9788933870839","","0","2","823.5","1","3","2019-10-08",
"118881930","(세상에서 가장 재미있는) 63가지 심리실험:뇌과학편","이케가야 유지 지음;서수지 옮김","사람과나무사이","2018(2019 3쇄)","9791188635146","","0","","180.733","1","1","2019-10-08",
"118881929","(상처보다 크고 아픔보다 강한) 당신을 믿어요 ","김윤나 지음","카시오페아","2019","9791188674725","","0","","189.1","1","1","2019-10-08",
"118881918","조선의 미식가들","주영하","휴머니스트출판그룹","20190729","9791160802788","","","","","1","1","2019-10-08",
"118881913","최소한에서 최대한으로 시현하다","김시현","레터프레스(letter-press)","20190812","9791188090365","","","","","1","1","2019-10-08",
"118881911","그놈의 소속감","김응준","김영사","20190810","9788934997825","","","","","1","1","2019-10-08",
"118881899","작은마음동호회","윤이형","문학동네","20190812","9788954657211","","","","","1","2","2019-10-08",
"118881893","스테파니 메일러 실종사건","조엘 디케르","밝은세상","20190812","9788984373761","","","","","1","2","2019-10-08",
"117267049","하이큐!!","후루다테 하루이치 저;강동욱 번역","대원씨아이","2019","9791164123155","","0","36","657.1","1","0","2019-08-30",
"117267048","하이큐!!","후루다테 하루이치 저;강동욱 번역","대원씨아이","2019","9791164123155","","0","35","657.1","1","0","2019-08-30",
"117267047","가담항설 :길 위의 노래","랑또 글·그림","위즈덤하우스","2019","9791190182638","","0","6","810","1","0","2019-08-30",
"117267046","가담항설 :길 위의 노래","랑또 글·그림","위즈덤하우스","2019","9791190182621","","0","5","810","1","0","2019-08-30",
"117267045","가담항설 :길 위의 노래","랑또 글·그림","위즈덤하우스","2019","9791190182614","","0","4","810","1","0","2019-08-30",
"117267044","노곤하개:노곤노곤 멍냥집사의 극한 일상:시즌 2","홍끼 글·그림","비아북","2019","9791189426590","","0","6","810","1","0","2019-08-30",
"117267043","노곤하개:노곤노곤 멍냥집사의 극한 일상:시즌 2","홍끼 글·그림","비아북","2019","9791189426583","","0","5","810","1","0","2019-08-30",
"117267042","야채호빵의 봄방학:박수봉 만화","박수봉 [글·그림]","Young Com(영컴)","2018","9791185193922","9791185193915","0","4","813.7","1","0","2019-08-30",
"117267041","야채호빵의 봄방학:박수봉 만화","박수봉 [글·그림]","Young Com(영컴)","2018","9791185193922","9791185193915","0","3","813.7","1","0","2019-08-30",
"117267040","연놈","상하 글·그림","Young com(영컴)","2019","9791162790182","","0","9","813.7","1","0","2019-08-30",
"117267039","연놈","상하 글·그림","Young com(영컴)","2018","9791162790182","","0","8","813.7","1","0","2019-08-30",
"117131149","진눈깨비 소년","쥬드 프라이데이 글·그림","위즈덤하우스 미디어그룹","2017","9791162209103","","0","5","813.7","1","0","2019-08-30",
"117131148","죽음에 관하여","시니 지음;혀노 그림","Young Com(영컴)","2018","9791162790229","","0","3","813.7","1","0","2019-08-30",
"117131147","죽음에 관하여","시니 글;혀노 그림","Young com(영컴)","2018","9788996885177","9788996885153","0","2","813.7","1","0","2019-08-30",
"117131146","마음의 소리","조석 원작","학산문화사(단행본)","2019","9791134823801","","7","9","813.7","1","0","2019-08-30",
"117131145","마음의 소리","조석 원작","학산문화사","2018","9791134810634","","7","8","813.7","1","0","2019-08-30",
"117131144","마음의 소리","조석 원작;두루픽스 애니메이션","학산문화사","2019","9791162879900","","7","7","813.7","1","0","2019-08-30",
"117131143","마음의 소리","조석 원작","학산문화사","2018","9791162877135","9791125691839","7","7","813.7","1","0","2019-08-30",
"117131142","마음의 소리","조석 원작;두루픽스 애니메이션;학산문화사 편","학산문화사","2018","9791125665540","9791125691839","7","5","813.7","1","0","2019-08-30",
"117131141","황제의 외동딸","윤슬 원작;리노 만화","디앤씨미디어","2019","9791126446933","","0","7","813.7","1","0","2019-08-30",
"117131140","진눈깨비 소년","쥬드 프라이데이 글·그림","위즈덤하우스 미디어그룹","2017","9791162209110","","0","6","813.7","1","0","2019-08-30",
"116895933","진눈깨비 소년","쥬드 프라이데이 글·그림","위즈덤하우스 미디어그룹","2019","9791162209097","","0","4","813.7","1","0","2019-08-30",
"116895932","송곳:최규석 만화","지은이: 최규석","창비","2018","9788936474461","9788936479688","0","6","813.7","1","0","2019-08-30",
