검색조건,,,,,,,,,
대출기간,2018-01-01 ~ 2018-12-31,,,,,,,,
성별,전체,,,,,,,,
연령,전체,,,,,,,,
지역,서울,,,,,,,,
세부지역,성북구,,,,,,,,
ISBN 부가기호,아동,,,,,,,,
주제,전체,,,,,,,,
,,,,,,,,,
제공기관 : 국립중앙도서관,,,,,,,,,
데이터 제공일 : 2019-12-23,,,,,,,,,
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,,,,,,,,,
,,,,,,,,,
순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
105,(세상에서 가장 긴 이름) 김수한무 거북이와 두루미 삼천갑자 동방삭 ,소중애 글 ;이승현 그림,비룡소,2013,,9788949101354 ,74800,813.5,7
105,지각대장 존 ,존 버닝햄 글·그림 ;박상희 옮김,비룡소,2006,,9788949110073 ,74480,843,7
105,"우당탕탕, 할머니 귀가 커졌어요",엘리자베트 슈티메르트 글;유혜자 옮김,비룡소,1999,,9788949110523 ,77850,853,7
105,캡슐 마녀의 수리수리 약국 ,김소민 글 ;소윤경 그림,비룡소,2012,247,9788949161495 ,74800,813.7,7
105,괴짜탐정의 사건노트,하야미네 가오루 글 ;정진희 그림,비룡소,2008-2012,2,9788949190471 ,73830,833.6,7
105,스무고개 탐정,허교범 글 ;고상미 그림,비룡소,2013-2014,2,9788949195810 ,74800,813.7,7
105,프레드릭,레오 리오니 글.그림;최순희 옮김,시공주니어,1999,,9788952701930 ,77840,843,7
105,내 고추는 천연 기념물,박상률 글;최민오 그림,시공사,2001,,9788952709929 ,73810,813.6,7
105,찰리와 초콜릿 공장,로알드 달 글;지혜연 옮김,시공사,2004,,9788952724175 ,74840,843,7
105,몽당연필도 주소가 있다 ,신현득 시 ;전미화 그림,문학동네,2010,,9788954613460 ,73810,811.8,7
105,집안 치우기 ,글: 고대영 ;그림: 김영진,길벗어린이,2010,6,9788955821055 ,77810,813.7,7
105,엽기 과학자 프래니,글·그림: 짐 벤튼;옮김: 박수현,언어세상,2005-2006,5,9788955856279 ,74840,843,7
105,도서관이 키운 아이 ,칼라 모리스 글 ;이상희 옮김,그린북,2008,,9788955881844 ,77840,843,7
105,비굴이 아니라 굴비옵니다 :음식 유래담 ,김은의 글 ;김언희 그림,학고재,2010,,9788956251233 ,73810,388,7
105,어린이 과학 형사대 CSI,글: 고희정 ;그림: 서용남,가나출판사,2008-2013,9,9788957364826 ,74400,400,7
105,어린이 과학 형사대 CSI,글: 고희정 ;그림: 서용남,가나출판사,2008-2013,12,9788957365144 ,74400,400,7
105,어린이 과학 형사대 CSI,글: 고희정 ;그림: 서용남,가나출판사,2008-2013,18,9788957365373 ,74400,400,7
105,어린이 과학 형사대 CSI,글: 고희정 ;그림: 서용남,가나문화콘텐츠,2013-2015,23,9788957365779 ,74400,400,7
105,날 좀 내버려 둬 :제7회 푸른문학상 동화집 ,지은이: 양인자 외,푸른책들,2009,,9788957981924 ,74810,813.6,7
105,도서관 길고양이 :제8회 푸른문학상 동화집 ,지은이: 김선아 외,푸른책들,2010,,9788957982563 ,74810,813.7,7
105,"사라, 버스를 타다",윌리엄 밀러 글;박찬석 옮김,사계절출판사,2004,,9788958280378 ,77840,843,7
105,커졌다! ,서현 글·그림,사계절출판사,2012,,9788958286219 ,77800,813.7,7
105,김구천구백이,송언 글;최정인 그림,파랑새,2007,,9788961550260 ,73810,813.6,7
105,소리 나는 물감 상자 :색과 소리의 추상화가 칸딘스키 ,바브 로젠스톡 글 ;염명순 옮김,위즈덤하우스,2014,,9788962474343 ,77650,653,7
105,윔피 키드,"글, 그림: 제프 키니 ;양진성",푸른날개,2009-2015,5,9788965590064 ,74840,843,7
105,나 똥 쌌어 ,미즈우치 기쿠오 글 ;김숙 옮김,북뱅크,2012,,9788966350117 ,77830,833.6,7
105,김밥은 왜 김밥이 되었을까? ,글쓴이: 채인선 ;그린이: 최은주,한림출판사,2010,,9788970945927 ,77810,813.6,7
105,과수원을 점령하라,황선미 지음;김환영 그림,사계절출판사,2003,,9788971969526 ,73810,813.6,7
105,(머리가 좋아지는) 만들기 백과 ,글·그림: 김충원,진선출판사,2010,,9788972216384 ,74630,630,7
105,작은 집 이야기 ,버지니아 리 버튼 그림·글 ;홍연미 옮김,시공사,2004,,9788972590385 ,77840,843,7
105,리디아의 정원,데이비드 스몰 그림;이복희 옮김,시공사,1998,,9788972596363 ,77840,843,7
105,아홉살 인생 - 개정판,위기철,청년사,2010,,9788972782810 ,77810,,7
105,그래도 나는 누나가 좋아 ,강무홍 글 ;김이랑 그림,논장,2011,,9788984141339 ,73810,813.7,7
105,(앤서니 브라운의) 거울 속으로,앤서니 브라운 글·그림;김현좌 옮김,베틀북,2006,,9788984883727 ,77840,843,7
105,내 짝꿍 최영대 ,글: 채인선 ;그림: 정순희,재미마주,1997,,9788986565508 ,73810,813.6,7
105,종이밥,김중미 글;김환영 그림,낮은산,2002,,9788989646020 ,73810,813.6,7
105,잔소리 없는 날 ,안네마리 노르덴 글 ;배정희 옮김,보물창고,2006,,9788990794055 ,73850,853,7
105,꼬마 아이를 먹을래 ,실비안 도니오 글 ;최윤정 옮김,바람의 아이들,2008,,9788990878588 ,77860,863,7
105,날고양이들 ,어슐러 K. 르귄 지음 ;김정아 옮김,봄나무,2009,,9788992026420 ,73840,843,7
105,정글에서 살아남기,글: 코믹컴 ;그림: 네모,루덴스미디어,2009-2013,7,9788994110073 ,77400,470,7
105,일기 먹는 일기장 ,송미경 글 ;홍기한 그림,맥스퍼블리싱(상수리나무),2011,,9788996726913 ,73810,813.7,7
105,불만이 있어요 ,요시타케 신스케 글·그림 ;김정화 옮김,봄나무,2016,,9791156130796 ,77830,833.6,7
172,Hooray for Fish! (Paperback),Lucy Coysins,Walker,2008,,9781406301564 ,78740,,6
172,배꼽이 없어요!,진 윌리스 글;이상희 옮김,웅진닷컴,2000,,9788901029269 ,74840,843,6
172,우리는 친구 ,글·그림: 앤서니 브라운 ;옮김: 장미란,웅진씽크빅,2008,,9788901074405 ,77840,843,6
172,(앤서니 브라운의) 마술 연필 ,글·그림: 앤서니 브라운 ;옮김: 서애경,웅진씽크빅,2010,,9788901113241 ,74800,843,6
172,도토리 마을의 빵집 ,글·그림: 나카야 미와 ;옮김: 김난주,웅진씽크빅,2012,,9788901149332 ,74800,833.6,6
